Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;37616400;182055600;447120000;58417200;163684800;69109200;13996800;0
2021;37906301;175790748;445408688;59570552;163447398;76902957;15636918;0
2022;38504309;164202644;442207511;61892596;162729948;89601302;18213122;0
2023;39408867;147317905;437523859;65377495;161534812;107179751;21720772;0
2024;40618473;125163008;431365023;70019480;159864319;129613990;26155260;0
2025;41913794;103118886;423738184;75008344;157720745;153009905;31049718;0
2026;43398997;81184984;412617578;81352839;154351712;178691524;36745791;0
2027;44969108;59360754;400043054;88040911;150514017;205325612;42897515;0
2028;46623720;37645644;386021717;95070905;146209879;232907523;49502711;0
2029;48362415;16039109;370560633;102441174;141441507;261432629;56559228;0
2030;49962716;3;353666852;109329833;136211086;286950596;63593541;0
2031;50907349;0;336855935;113793304;131007337;300830646;69221213;0
2032;51848774;0;320127467;118241387;125830072;314665090;74827261;0
2033;52786999;0;303481025;122674176;120679117;328454162;80411834;0
2034;53722054;0;286916198;127091757;115554273;342198103;85975076;0
2035;54653948;0;270432565;131494227;110455347;355897138;91517153;0
2036;55582709;0;254029709;135881675;105382156;369551494;97038203;0
2037;56508353;0;237707229;140254189;100334504;383161403;102538381;0
2038;57430900;0;221464694;144611856;95312200;396727093;108017850;0
2039;58350367;0;205301721;148954762;90315047;410248788;113476759;0
2040;59266779;0;189217891;153283004;85342858;423726714;118915258;0
2041;60180153;0;173212807;157596669;80395424;437161096;124333506;0
2042;61090506;0;157286059;161895847;75472552;450552162;129731660;0
2043;61997856;0;141437246;166180628;70574044;463900130;135109883;0
2044;62902230;0;125665980;170451101;65699689;477205220;140468331;0
2045;63803641;0;109971853;174707358;60849292;490467653;145807172;0
2046;64702107;0;94354483;178949495;56022641;503687644;151126566;0
2047;65597647;0;78813462;183177599;51219527;516865421;156426678;0
2048;66490284;0;63348422;187391763;46439716;530001192;161707686;0
2049;67380042;0;47958963;191592084;41682999;543095177;166969757;0
2050;68044522;0;38916556;194775415;36949155;551662630;171651821;0
2051;68020789;0;38732077;195267095;37103649;554120375;172098200;0
2052;67998544;0;38548521;195762732;37258937;556588534;172547913;0
2053;67977781;0;38365880;196262306;37415016;559067055;173000945;0
2054;67958490;0;38184152;196765796;37571879;561555885;173457280;0
2055;67940664;0;38003333;197273180;37729521;564054970;173916902;0
2056;67924294;0;37823417;197784445;37887937;566564262;174379793;0
2057;67909378;0;37644403;198299565;38047127;569083711;174845936;0
2058;67895906;0;37466282;198818522;38207087;571613267;175315315;0
2059;67883871;0;37289054;199341297;38367812;574152878;175787916;0
2060;67873266;0;37112711;199867871;38529300;576702492;176263724;0
