AREAS;FLEX_CONSUM;CAPEX_2030;CAPEX_2040;CAPEX_2050;CAPEX_2060;Lifetime_2030;Lifetime_2040;Lifetime_2050;Lifetime_2060;OPEX_2030;OPEX_2040;OPEX_2050;OPEX_2060;flex_ratio;max_ratio;flex_type;labourcost
FR;Steel;2772006,204;2772006,204;2772006,204;2772006,204;20;20;20;20;83160,18613;83160,18613;83160,18613;83160,18613;0,9;1;week;53
FR;EV;390722,5603;344175,5835;344175,5835;344175,5835;15;15;15;15;22681,81818;22681,81818;22681,81818;22681,81818;0,5;1;day_ev;0
BE;Steel;2772006,204;2772006,204;2772006,204;2772006,204;20;20;20;20;83160,18613;83160,18613;83160,18613;83160,18613;0,9;1;week;53
BE;EV;390722,5603;344175,5835;344175,5835;344175,5835;15;15;15;15;22681,81818;22681,81818;22681,81818;22681,81818;0,5;1;day_ev;0
CH;Steel;2772006,204;2772006,204;2772006,204;2772006,204;20;20;20;20;83160,18613;83160,18613;83160,18613;83160,18613;0,9;1;week;53
CH;EV;390722,5603;344175,5835;344175,5835;344175,5835;15;15;15;15;22681,81818;22681,81818;22681,81818;22681,81818;0,5;1;day_ev;0
DE;Steel;2772006,204;2772006,204;2772006,204;2772006,204;20;20;20;20;83160,18613;83160,18613;83160,18613;83160,18613;0,9;1;week;53
DE;EV;390722,5603;344175,5835;344175,5835;344175,5835;15;15;15;15;22681,81818;22681,81818;22681,81818;22681,81818;0,5;1;day_ev;0
ES;Steel;2772006,204;2772006,204;2772006,204;2772006,204;20;20;20;20;83160,18613;83160,18613;83160,18613;83160,18613;0,9;1;week;53
ES;EV;390722,5603;344175,5835;344175,5835;344175,5835;15;15;15;15;22681,81818;22681,81818;22681,81818;22681,81818;0,5;1;day_ev;0
GB;Steel;2772006,204;2772006,204;2772006,204;2772006,204;20;20;20;20;83160,18613;83160,18613;83160,18613;83160,18613;0,9;1;week;53
GB;EV;390722,5603;344175,5835;344175,5835;344175,5835;15;15;15;15;22681,81818;22681,81818;22681,81818;22681,81818;0,5;1;day_ev;0
IT;Steel;2772006,204;2772006,204;2772006,204;2772006,204;20;20;20;20;83160,18613;83160,18613;83160,18613;83160,18613;0,9;1;week;53
IT;EV;390722,5603;344175,5835;344175,5835;344175,5835;15;15;15;15;22681,81818;22681,81818;22681,81818;22681,81818;0,5;1;day_ev;0
