Année;Electrique;Hybride rechargeable;Hydrogène;GNV;Autres fossiles
2021;869;76;0;3495;23021
2022;1447;68;8;4364;21825
2023;2095;61;31;5316;20473
2024;2811;55;72;6372;18947
2025;3576;46;129;7488;17301
2026;4371;41;199;8645;15565
2027;5191;39;303;9616;13961
2028;6057;33;440;10466;12406
2029;6914;28;604;11144;11006
2030;7810;24;803;11649;9696
2031;8726;19;1033;12019;8485
2032;9639;16;1250;12302;7309
2033;10606;13;1481;12413;6308
2034;11569;10;1704;12408;5437
2035;12536;10;1934;12302;4637
2036;13528;10;2158;12058;3969
2037;14572;8;2380;11708;3372
2038;15521;8;2601;11296;2934
2039;16555;8;2824;10761;2516
2040;17576;5;3056;10151;2180
2041;18626;4;3259;9421;1988
2042;19545;2;3466;8741;1877
2043;20389;2;3651;8058;1867
2044;21162;2;3818;7434;1867
2045;21929;2;3998;6880;1814
2046;22581;2;4132;6321;1814
2047;23198;2;4245;5775;1814
2048;23751;1;4357;5278;1814
2049;24234;1;4460;4820;1814
2050;24690;1;4545;4443;1814
2051;24997;1;4626;4054;1814
2052;25353;1;4717;3711;1814
2053;25615;1;4795;3401;1814
2054;25871;1;4854;3150;1814
2055;26036;1;4856;2921;1814
2056;26219;1;4897;2732;1814
2057;26394;1;4936;2552;1814
2058;26544;1;4979;2354;1814
2059;26648;1;4958;2237;1814
2060;26820;0;5006;2129;1814
