Jour;Heure;Puissance VL;Thermosensibilite VL;Puissance PL;Thermosensibilite PL;Puissance bus et car;Thermosensibilite bus et car
Lundi;0;143,2024169;-1,764118007;0,196428571;-0,002419814;0,24;-0,002956572
Lundi;1;97,18026183;-1,197168689;0,1875;-0,002309822;0,15;-0,001847858
Lundi;2;63,64551863;-0,784052447;0,178571429;-0,002199831;0,06;-0,000739143
Lundi;3;43,40382679;-0,534693995;0,169642857;-0,002089839;0,05;-0,000615953
Lundi;4;32,82980866;-0,404432117;0,160714286;-0,001979848;0,05;-0,000615953
Lundi;5;25,3776435;-0,312628507;0,151785714;-0,001869856;0,05;-0,000615953
Lundi;6;23,06143001;-0,284094953;0,142857143;-0,001759865;0,05;-0,000615953
Lundi;7;23,16213494;-0,285335543;0,133928571;-0,001649873;0,05;-0,000615953
Lundi;8;59,41591138;-0,731947696;0,1;-0,001231905;0,05;-0,000615953
Lundi;9;110,6075864;-1,362580598;0,1;-0,001231905;0,05;-0,000615953
Lundi;10;138,8049681;-1,709945606;0,1;-0,001231905;0,05;-0,000615953
Lundi;11;175,2265861;-2,158625409;0,1;-0,001231905;0,05;-0,000615953
Lundi;12;296,5760322;-3,653535534;0,4;-0,004927621;0,1;-0,001231905
Lundi;13;500;-6,159525951;0,6;-0,007391431;0,1;-0,001231905
Lundi;14;439,7448808;-5,417240011;0,5;-0,006159526;0,05;-0,000615953
Lundi;15;265,3575025;-3,268952846;0,1;-0,001231905;0,05;-0,000615953
Lundi;16;245,0486741;-3,018767334;0,1;-0,001231905;0,05;-0,000615953
Lundi;17;337,1936892;-4,153906558;0,4;-0,004927621;0,05;-0,000615953
Lundi;18;651,5609265;-8,026612871;1;-0,012319052;0,05;-0,000615953
Lundi;19;860,1879825;-10,5967004;0,964285714;-0,011879086;0,05;-0,000615953
Lundi;20;817,0527022;-10,06531465;0,928571429;-0,01143912;0,1;-0,001231905
Lundi;21;671,1983887;-8,268527787;0,892857143;-0,010999154;0,5;-0,006159526
Lundi;22;462,9070158;-5,702575553;0,857142857;-0,010559187;1;-0,012319052
Lundi;23;309,8355153;-3,816879794;0,821428571;-0,010119221;0,85;-0,010471194
Mardi;0;238,6706949;-2,940196678;0,785714286;-0,009679255;0,7;-0,008623336
Mardi;1;161,9671031;-1,995281149;0,75;-0,009239289;0,55;-0,006775479
Mardi;2;106,0758644;-1,306754079;0,714285714;-0,008799323;0,4;-0,004927621
Mardi;3;72,33971131;-0,891156658;0,678571429;-0,008359357;0,25;-0,003079763
Mardi;4;54,71634777;-0,674053528;0,642857143;-0,007919391;0,1;-0,001231905
Mardi;5;42,29607251;-0,521047512;0,607142857;-0,007479424;0,05;-0,000615953
Mardi;6;38,43571668;-0,473491589;0,571428571;-0,007039458;0,05;-0,000615953
Mardi;7;38,60355824;-0,475559238;0,535714286;-0,006599492;0,05;-0,000615953
Mardi;8;59,41591138;-0,731947696;0,5;-0,006159526;0,05;-0,000615953
Mardi;9;110,6075864;-1,362580598;0,2;-0,00246381;0,05;-0,000615953
Mardi;10;138,8049681;-1,709945606;0,1;-0,001231905;0,05;-0,000615953
Mardi;11;175,2265861;-2,158625409;0,1;-0,001231905;0,05;-0,000615953
Mardi;12;296,5760322;-3,653535534;0,4;-0,004927621;0,1;-0,001231905
Mardi;13;500;-6,159525951;0,6;-0,007391431;0,1;-0,001231905
Mardi;14;439,7448808;-5,417240011;0,5;-0,006159526;0,05;-0,000615953
Mardi;15;265,3575025;-3,268952846;0,1;-0,001231905;0,05;-0,000615953
Mardi;16;245,0486741;-3,018767334;0,1;-0,001231905;0,05;-0,000615953
Mardi;17;337,1936892;-4,153906558;0,4;-0,004927621;0,05;-0,000615953
Mardi;18;651,5609265;-8,026612871;1;-0,012319052;0,05;-0,000615953
Mardi;19;860,1879825;-10,5967004;0,964285714;-0,011879086;0,05;-0,000615953
Mardi;20;817,0527022;-10,06531465;0,928571429;-0,01143912;0,1;-0,001231905
Mardi;21;671,1983887;-8,268527787;0,892857143;-0,010999154;0,5;-0,006159526
Mardi;22;462,9070158;-5,702575553;0,857142857;-0,010559187;1;-0,012319052
Mardi;23;309,8355153;-3,816879794;0,821428571;-0,010119221;0,85;-0,010471194
Mercredi;0;238,6706949;-2,940196678;0,785714286;-0,009679255;0,7;-0,008623336
Mercredi;1;161,9671031;-1,995281149;0,75;-0,009239289;0,55;-0,006775479
Mercredi;2;106,0758644;-1,306754079;0,714285714;-0,008799323;0,4;-0,004927621
Mercredi;3;72,33971131;-0,891156658;0,678571429;-0,008359357;0,25;-0,003079763
Mercredi;4;54,71634777;-0,674053528;0,642857143;-0,007919391;0,1;-0,001231905
Mercredi;5;42,29607251;-0,521047512;0,607142857;-0,007479424;0,05;-0,000615953
Mercredi;6;38,43571668;-0,473491589;0,571428571;-0,007039458;0,05;-0,000615953
Mercredi;7;38,60355824;-0,475559238;0,535714286;-0,006599492;0,05;-0,000615953
Mercredi;8;59,41591138;-0,731947696;0,5;-0,006159526;0,05;-0,000615953
Mercredi;9;110,6075864;-1,362580598;0,2;-0,00246381;0,05;-0,000615953
Mercredi;10;138,8049681;-1,709945606;0,1;-0,001231905;0,05;-0,000615953
Mercredi;11;175,2265861;-2,158625409;0,1;-0,001231905;0,05;-0,000615953
Mercredi;12;296,5760322;-3,653535534;0,4;-0,004927621;0,1;-0,001231905
Mercredi;13;500;-6,159525951;0,6;-0,007391431;0,1;-0,001231905
Mercredi;14;439,7448808;-5,417240011;0,5;-0,006159526;0,05;-0,000615953
Mercredi;15;265,3575025;-3,268952846;0,1;-0,001231905;0,05;-0,000615953
Mercredi;16;245,0486741;-3,018767334;0,1;-0,001231905;0,05;-0,000615953
Mercredi;17;337,1936892;-4,153906558;0,4;-0,004927621;0,05;-0,000615953
Mercredi;18;651,5609265;-8,026612871;1;-0,012319052;0,05;-0,000615953
Mercredi;19;860,1879825;-10,5967004;0,964285714;-0,011879086;0,05;-0,000615953
Mercredi;20;817,0527022;-10,06531465;0,928571429;-0,01143912;0,1;-0,001231905
Mercredi;21;671,1983887;-8,268527787;0,892857143;-0,010999154;0,5;-0,006159526
Mercredi;22;462,9070158;-5,702575553;0,857142857;-0,010559187;1;-0,012319052
Mercredi;23;309,8355153;-3,816879794;0,821428571;-0,010119221;0,85;-0,010471194
Jeudi;0;238,6706949;-2,940196678;0,785714286;-0,009679255;0,7;-0,008623336
Jeudi;1;161,9671031;-1,995281149;0,75;-0,009239289;0,55;-0,006775479
Jeudi;2;106,0758644;-1,306754079;0,714285714;-0,008799323;0,4;-0,004927621
Jeudi;3;72,33971131;-0,891156658;0,678571429;-0,008359357;0,25;-0,003079763
Jeudi;4;54,71634777;-0,674053528;0,642857143;-0,007919391;0,1;-0,001231905
Jeudi;5;42,29607251;-0,521047512;0,607142857;-0,007479424;0,05;-0,000615953
Jeudi;6;38,43571668;-0,473491589;0,571428571;-0,007039458;0,05;-0,000615953
Jeudi;7;38,60355824;-0,475559238;0,535714286;-0,006599492;0,05;-0,000615953
Jeudi;8;59,41591138;-0,731947696;0,5;-0,006159526;0,05;-0,000615953
