Date;Consommation
01/01/2019 00:00;64207
01/01/2019 01:00;60923
01/01/2019 02:00;60127
01/01/2019 03:00;57399
01/01/2019 04:00;54306
01/01/2019 05:00;52842
01/01/2019 06:00;52833
01/01/2019 07:00;53364
01/01/2019 08:00;53721
01/01/2019 09:00;53362
01/01/2019 10:00;55008
01/01/2019 11:00;56871
01/01/2019 12:00;59150
01/01/2019 13:00;61822
01/01/2019 14:00;59657
01/01/2019 15:00;57661
01/01/2019 16:00;56921
01/01/2019 17:00;57614
01/01/2019 18:00;61884
01/01/2019 19:00;64143
01/01/2019 20:00;64108
01/01/2019 21:00;62074
01/01/2019 22:00;59903
01/01/2019 23:00;62982
02/01/2019 00:00;62027
02/01/2019 01:00;57907
02/01/2019 02:00;57036
02/01/2019 03:00;55013
02/01/2019 04:00;53450
02/01/2019 05:00;53908
02/01/2019 06:00;57098
02/01/2019 07:00;61548
02/01/2019 08:00;65972
02/01/2019 09:00;68219
02/01/2019 10:00;69809
02/01/2019 11:00;70455
02/01/2019 12:00;71666
02/01/2019 13:00;72658
02/01/2019 14:00;70621
02/01/2019 15:00;68498
02/01/2019 16:00;67619
02/01/2019 17:00;68148
02/01/2019 18:00;73092
02/01/2019 19:00;75895
02/01/2019 20:00;74473
02/01/2019 21:00;70652
02/01/2019 22:00;67972
02/01/2019 23:00;71208
03/01/2019 00:00;70337
03/01/2019 01:00;66074
03/01/2019 02:00;65172
03/01/2019 03:00;63172
03/01/2019 04:00;61445
03/01/2019 05:00;61919
03/01/2019 06:00;65584
03/01/2019 07:00;70773
03/01/2019 08:00;75431
03/01/2019 09:00;77264
03/01/2019 10:00;78123
03/01/2019 11:00;77680
03/01/2019 12:00;78066
03/01/2019 13:00;77402
03/01/2019 14:00;74947
03/01/2019 15:00;72522
03/01/2019 16:00;71323
03/01/2019 17:00;71985
03/01/2019 18:00;77408
03/01/2019 19:00;80425
03/01/2019 20:00;78486
03/01/2019 21:00;74749
03/01/2019 22:00;71783
03/01/2019 23:00;74934
04/01/2019 00:00;73879
04/01/2019 01:00;69682
04/01/2019 02:00;68826
04/01/2019 03:00;66900
04/01/2019 04:00;65219
04/01/2019 05:00;65530
04/01/2019 06:00;68904
04/01/2019 07:00;74054
04/01/2019 08:00;78864
04/01/2019 09:00;80566
04/01/2019 10:00;81571
04/01/2019 11:00;81228
04/01/2019 12:00;81197
04/01/2019 13:00;80597
04/01/2019 14:00;77613
04/01/2019 15:00;75011
04/01/2019 16:00;73689
04/01/2019 17:00;73953
04/01/2019 18:00;78831
04/01/2019 19:00;81227
04/01/2019 20:00;79031
04/01/2019 21:00;75160
04/01/2019 22:00;72865
04/01/2019 23:00;75621
05/01/2019 00:00;74657
05/01/2019 01:00;70175
05/01/2019 02:00;68854
05/01/2019 03:00;66322
05/01/2019 04:00;63988
05/01/2019 05:00;63366
05/01/2019 06:00;64618
05/01/2019 07:00;66756
05/01/2019 08:00;69094
05/01/2019 09:00;71164
05/01/2019 10:00;73223
05/01/2019 11:00;73651
05/01/2019 12:00;74555
05/01/2019 13:00;75913
05/01/2019 14:00;72939
05/01/2019 15:00;70197
05/01/2019 16:00;68833
05/01/2019 17:00;69040
05/01/2019 18:00;73115
05/01/2019 19:00;75473
05/01/2019 20:00;74262
05/01/2019 21:00;71122
05/01/2019 22:00;69310
05/01/2019 23:00;72284
06/01/2019 00:00;71857
06/01/2019 01:00;67709
06/01/2019 02:00;66379
06/01/2019 03:00;63700
06/01/2019 04:00;61175
06/01/2019 05:00;59778
06/01/2019 06:00;60382
06/01/2019 07:00;61615
06/01/2019 08:00;63323
06/01/2019 09:00;64811
06/01/2019 10:00;67808
06/01/2019 11:00;69970
06/01/2019 12:00;71894
06/01/2019 13:00;74032
06/01/2019 14:00;70186
06/01/2019 15:00;67468
06/01/2019 16:00;66124
06/01/2019 17:00;66147
06/01/2019 18:00;70923
06/01/2019 19:00;74428
06/01/2019 20:00;74035
06/01/2019 21:00;71424
06/01/2019 22:00;68415
06/01/2019 23:00;71043
07/01/2019 00:00;70061
07/01/2019 01:00;66023
07/01/2019 02:00;65182
07/01/2019 03:00;62964
07/01/2019 04:00;61125
07/01/2019 05:00;61625
07/01/2019 06:00;65996
07/01/2019 07:00;73027
07/01/2019 08:00;78422
07/01/2019 09:00;78914
07/01/2019 10:00;79228
07/01/2019 11:00;79144
07/01/2019 12:00;80087
07/01/2019 13:00;80039
07/01/2019 14:00;78036
07/01/2019 15:00;76044
07/01/2019 16:00;75111
07/01/2019 17:00;75249
07/01/2019 18:00;79221
07/01/2019 19:00;82058
07/01/2019 20:00;78647
07/01/2019 21:00;74034
07/01/2019 22:00;70509
07/01/2019 23:00;72938
08/01/2019 00:00;71459
08/01/2019 01:00;66850
08/01/2019 02:00;65642
08/01/2019 03:00;63316
08/01/2019 04:00;61223
08/01/2019 05:00;61479
08/01/2019 06:00;65202
08/01/2019 07:00;72679
08/01/2019 08:00;77432
08/01/2019 09:00;77800
08/01/2019 10:00;77626
08/01/2019 11:00;77453
08/01/2019 12:00;77717
08/01/2019 13:00;77575
08/01/2019 14:00;75940
08/01/2019 15:00;74017
08/01/2019 16:00;72787
08/01/2019 17:00;72967
08/01/2019 18:00;77596
08/01/2019 19:00;80394
08/01/2019 20:00;77534
08/01/2019 21:00;73187
08/01/2019 22:00;69871
08/01/2019 23:00;72207
09/01/2019 00:00;70977
09/01/2019 01:00;66449
09/01/2019 02:00;65301
09/01/2019 03:00;63130
09/01/2019 04:00;61439
09/01/2019 05:00;61953
09/01/2019 06:00;65897
09/01/2019 07:00;72748
09/01/2019 08:00;78159
09/01/2019 09:00;79311
09/01/2019 10:00;79648
09/01/2019 11:00;79028
09/01/2019 12:00;79405
09/01/2019 13:00;79239
09/01/2019 14:00;77809
09/01/2019 15:00;76108
09/01/2019 16:00;75018
09/01/2019 17:00;75587
09/01/2019 18:00;80104
09/01/2019 19:00;83501
09/01/2019 20:00;81066
09/01/2019 21:00;76314
09/01/2019 22:00;73229
09/01/2019 23:00;75687
10/01/2019 00:00;74561
10/01/2019 01:00;70369
10/01/2019 02:00;69638
10/01/2019 03:00;67445
10/01/2019 04:00;65684
10/01/2019 05:00;66185
10/01/2019 06:00;70348
10/01/2019 07:00;78343
10/01/2019 08:00;83756
10/01/2019 09:00;84393
10/01/2019 10:00;83940
10/01/2019 11:00;83030
10/01/2019 12:00;82934
10/01/2019 13:00;82255
10/01/2019 14:00;80207
10/01/2019 15:00;78052
10/01/2019 16:00;77453
10/01/2019 17:00;77709
10/01/2019 18:00;82954
