Area;Nom du reacteur;Puissance nette (MWe);Arret definitif
GB;HARTLEPOOL-A1;595;2024
GB;HARTLEPOOL-A2;595;2024
GB;HEYSHAM-A1;585;2024
GB;HEYSHAM-A2;575;2024
GB;HEYSHAM-B1;620;2030
GB;HEYSHAM-B2;620;2030
GB;HINKLEY POINT-B1;410;2022
GB;HINKLEY POINT-B2;430;2022
GB;HINKLEY POINT-C1;1630;2087
GB;HINKLEY POINT-C2;1630;2087
GB;SIZEWELL-B;1188;2055
GB;TORNESS 1;600;2028
GB;TORNESS 2;605;2029
GB;HUNTERSTON-B1;700;2021
GB;HUNTERSTON-B2;700;2022
ES;ALMARAZ-1;944;2028
ES;ALMARAZ-2;944;2028
ES;ASCO-1;995;2030
ES;ASCO-2;997;2031
ES;COFRENTES;1064;2030
ES;TRILLO-1;1003;2035
ES;VANDELLOS-2;1045;2035
CH;BEZNAU-1;365;2029
CH;BEZNAU-2;365;2031
CH;GOESGEN;970;2039
CH;LEIBSTADT;1165;2044
CH;MUEHLEBERG;373;2019
BE;DOEL-1;433;2022
BE;DOEL-2;433;2022
BE;DOEL-3;1006;2025
BE;DOEL-4;1047;2035
BE;TIHANGE-1;962;2025
BE;TIHANGE-2;1008;2023
BE;TIHANGE-3;1054;2035
