Date;Hydraulique fil de l'eau et ecluse
01/01/2019 00:00;3513
01/01/2019 01:00;3369
01/01/2019 02:00;3126
01/01/2019 03:00;3032
01/01/2019 04:00;2938
01/01/2019 05:00;2866
01/01/2019 06:00;2704
01/01/2019 07:00;2706
01/01/2019 08:00;3015
01/01/2019 09:00;3047
01/01/2019 10:00;3153
01/01/2019 11:00;3248
01/01/2019 12:00;3185
01/01/2019 13:00;3178
01/01/2019 14:00;2929
01/01/2019 15:00;2938
01/01/2019 16:00;2823
01/01/2019 17:00;2876
01/01/2019 18:00;3375
01/01/2019 19:00;4163
01/01/2019 20:00;4188
01/01/2019 21:00;3787
01/01/2019 22:00;3484
01/01/2019 23:00;3204
02/01/2019 00:00;2846
02/01/2019 01:00;2478
02/01/2019 02:00;2278
02/01/2019 03:00;2247
02/01/2019 04:00;2262
02/01/2019 05:00;2294
02/01/2019 06:00;2352
02/01/2019 07:00;2724
02/01/2019 08:00;3158
02/01/2019 09:00;3676
02/01/2019 10:00;3944
02/01/2019 11:00;4118
02/01/2019 12:00;3883
02/01/2019 13:00;3651
02/01/2019 14:00;3513
02/01/2019 15:00;3443
02/01/2019 16:00;3530
02/01/2019 17:00;4169
02/01/2019 18:00;4501
02/01/2019 19:00;4851
02/01/2019 20:00;4767
02/01/2019 21:00;4512
02/01/2019 22:00;4220
02/01/2019 23:00;4026
03/01/2019 00:00;3640
03/01/2019 01:00;3059
03/01/2019 02:00;2781
03/01/2019 03:00;2683
03/01/2019 04:00;2578
03/01/2019 05:00;2574
03/01/2019 06:00;2574
03/01/2019 07:00;3033
03/01/2019 08:00;3533
03/01/2019 09:00;4007
03/01/2019 10:00;4283
03/01/2019 11:00;4377
03/01/2019 12:00;4129
03/01/2019 13:00;4173
03/01/2019 14:00;3908
03/01/2019 15:00;3957
03/01/2019 16:00;3868
03/01/2019 17:00;4054
03/01/2019 18:00;4867
03/01/2019 19:00;5245
03/01/2019 20:00;5091
03/01/2019 21:00;4527
03/01/2019 22:00;4086
03/01/2019 23:00;4026
04/01/2019 00:00;3893
04/01/2019 01:00;3421
