AREAS;TECHNOLOGIES;2030;2040;2050;2060
BE;Solar;13788,0;23788,0;33788,0;34566,56705753931
BE;WindOnShore;4429,0;15394,458007216293;21221,405353553164;27000,0
BE;WindOffShore;9016,0;15778,0;33060,38540224319;33810,0
CH;Solar;14500,0;27200,0;40000,0;40000,0
CH;WindOnShore;700,0;1400,0;2100,0;2100,0
CH;WindOffShore;0,0;0,0;0,0;0,0
FR;Solar;48069,553346164284;132558,58967437953;215284,591094893;279801,39402616036
FR;WindOnShore;23400,0;55217,0;75217,0;75217,0
FR;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
ES;Solar;67528,79075319204;128560,09756413953;152259,56243082072;156830,8489531528
ES;WindOnShore;41235,0;56235,0;71235,0;71235,0
ES;WindOffShore;10000,0;24999,999999999996;40000,0;40000,0
GB;Solar;22378,0;69511,49323979099;42400,0;46598,82413652739
GB;WindOnShore;21937,0;31937,000000000004;41937,0;41937,0
GB;WindOffShore;35000,0;67115,4763633349;85800,0;94064,1876145341
DE;Solar;98538,0;149900,5907496495;255398,40509733415;266318,2771241324
DE;WindOnShore;78000,0;103999,99999999999;130000,0;130000,0
DE;WindOffShore;46644,0;81627,0;116610,0;116610,0
IT;Solar;63799,99999999999;148060,18941919057;186114,85392183595;190259,51956463483
IT;WindOnShore;46400,0;85700,0;125000,0;125000,0
IT;WindOffShore;1000,0;1000,0;1000,0;1000,0
