AREAS;TECHNOLOGIES;2030;2040;2050;2060
BE;Solar;13788,0;23788,0;33788,0;33788,0
BE;WindOnShore;4429,0;18600,0;23494,49331378367;27000,0
BE;WindOffShore;9016,0;15778,0;33346,40984182645;33810,0
CH;Solar;14500,0;27200,0;40000,0;40000,0
CH;WindOnShore;700,0;1400,0;2100,0;2100,0
CH;WindOffShore;0,0;0,0;0,0;0,0
FR;Solar;48069,553346164284;140932,83129886186;214100,7461964694;244578,81784745184
FR;WindOnShore;23400,0;30200,0;37000,0;37000,0
FR;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
ES;Solar;67528,79075319204;130900,00000000001;154841,28134878352;156806,88245578154
ES;WindOnShore;41235,0;56235,0;71235,0;71235,0
ES;WindOffShore;10000,0;24999,999999999996;40000,0;40000,0
GB;Solar;22378,0;66757,91713841607;42400,0;42400,0
GB;WindOnShore;21937,0;31937,000000000004;41937,0;41937,0
GB;WindOffShore;35000,0;70900,0;85800,0;89848,741005041
DE;Solar;98538,0;152743,49627654415;257224,44264940612;266957,85900982074
DE;WindOnShore;78000,0;103999,99999999999;130000,0;130000,0
DE;WindOffShore;46644,0;81627,0;116610,0;116610,0
IT;Solar;63799,99999999999;150894,72359321057;187601,1820763331;187999,65056444504
IT;WindOnShore;46400,0;85700,0;125000,0;125000,0
IT;WindOffShore;1000,0;1000,0;1000,0;1000,0
