AREAS;TECHNOLOGIES;2030;2040;2050;2060
FR;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
FR;WindOnShore;23400,0;30200,0;37000,0;37000,0
FR;Solar;44112,9292006314;77356,59098198578;99999,99999999999;101749,99092709624
CH;WindOffShore;0,0;0,0;0,0;0,0
CH;WindOnShore;700,0;1400,0;2100,0;2100,0
CH;Solar;14500,0;27200,0;32026,88382636182;36137,33860408164
DE;WindOffShore;46644,0;81627,0;116610,0;116610,0
DE;WindOnShore;78000,0;103999,99999999999;130000,0;130000,0
DE;Solar;98538,0;148538,0;234650,30634917493;244815,6874356995
GB;WindOffShore;35000,0;63208,75045536046;85800,0;85800,0
GB;WindOnShore;21937,0;31937,000000000004;41937,0;41937,0
GB;Solar;22378,0;69600,0;42400,0;42400,0
BE;WindOffShore;9016,0;15778,0;22540,0;22540,0
BE;WindOnShore;4429,0;8438,710501415997;10024,939634971866;16220,631560921658
BE;Solar;13788,0;23788,0;33788,0;33788,0
ES;WindOffShore;10000,0;24999,999999999996;40000,0;40000,0
ES;WindOnShore;41235,0;56235,0;71235,0;71235,0
ES;Solar;66658,26632397655;122731,43187451675;134421,99925613886;143027,63975306632
IT;WindOffShore;1000,0;1000,0;1000,0;1000,0
IT;WindOnShore;46400,0;85700,0;125000,0;125000,0
IT;Solar;63799,99999999999;145201,15851303068;173614,6222361196;174663,26235208055
