AREAS;TECHNOLOGIES;2030;2040;2050;2060
BE;Solar;13788,0;23788,0;33788,0;33788,0
BE;WindOnShore;4429,0;17762,41751297769;18908,69472559619;20822,901710177674
BE;WindOffShore;9016,0;15778,0;28478,630255481068;30513,018240291025
CH;Solar;14500,0;27200,0;39179,02198452811;40000,0
CH;WindOnShore;700,0;1400,0;2100,0;2100,0
CH;WindOffShore;0,0;0,0;0,0;0,0
FR;Solar;48069,553346164284;128030,4912950026;160215,8652021744;170126,0528385357
FR;WindOnShore;23400,0;30200,0;37000,0;37000,0
FR;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
ES;Solar;67528,79075319204;129580,23401499249;146350,6098672875;148225,55585748365
ES;WindOnShore;41235,0;56235,0;71235,0;71235,0
ES;WindOffShore;10000,0;24999,999999999996;40000,0;40000,0
GB;Solar;22378,0;66436,32265726045;42400,0;42400,0
GB;WindOnShore;21937,0;31937,000000000004;41937,0;41937,0
GB;WindOffShore;35000,0;69342,85592565971;85800,0;85800,0
DE;Solar;98538,0;151156,58139412827;252837,73271756602;257466,59494371258
DE;WindOnShore;78000,0;103999,99999999999;130000,0;130000,0
DE;WindOffShore;46644,0;81627,0;116610,0;116610,0
IT;Solar;63799,99999999999;148195,10539488305;179444,44063764883;179249,82473992166
IT;WindOnShore;46400,0;85700,0;125000,0;125000,0
IT;WindOffShore;1000,0;1000,0;1000,0;1000,0
