AREAS;CAPA_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Production;OldNuke;59430,0;42230,0;13870,0;0,0
FR;Production;Solar;48069,553346164284;128030,4912950026;160215,8652021744;170126,0528385357
FR;Production;Biomass;3000,0;3000,0;3000,0;846,9340002424052
FR;Production;WindOnShore;23400,0;30200,0;37000,0;37000,0
FR;Production;CCG;1674,7594692699777;0,0;0,0;0,0
FR;Production;TAC;0,0;0,0;0,0;0,0
FR;Production;HydroReservoir;8785,0;8785,0;8785,0;8785,0
FR;Production;Geothermal;0,0;0,0;0,0;0,0
FR;Production;Coal;0,0;0,0;0,0;0,0
FR;Production;NewHydroRiver;1200,0;1200,0;1200,0;1200,0
FR;Production;NewNuke;1650,0;9010,0;26730,0;39470,0
FR;Production;curtailment;0,0;0,0;0,0;0,0
FR;Production;HydroRiver;11030,0;11030,0;11030,0;11030,0
FR;Production;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
FR;Storage_in;Battery;5980,639764354109;15521,632676548825;6445,566657253332;5953,201277685213
FR;Storage_in;HydroStorage;5049,0;10899,0;10899,0;10899,0
FR;Storage_in;PowertoH2toPower;4617,08929701557;14313,508170544199;17755,324506760924;18786,893577939616
FR;Storage_out;Battery;5980,639764354109;15521,632676548825;6445,566657253332;5953,201277685213
FR;Storage_out;HydroStorage;5049,0;10899,0;10899,0;10899,0
FR;Storage_out;PowertoH2toPower;0,0;0,0;0,0;0,0
FR;Storage_energy;Battery;9535,021332049415;16338,560712156657;6784,807007635086;6266,527660721276
FR;Storage_energy;HydroStorage;90882,0;196182,0;196182,0;196182,0
FR;Storage_energy;PowertoH2toPower;199562,8723459849;2042311,6039786993;1742103,2409293875;1861301,5332957944
FR;Flex;Steel;0,0;0,0;0,0;0,0
FR;Flex;EV;1922,7882391100968;16109,597670920995;21076,487902015106;23283,314993268512
