AREAS;COST_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Energy;CCG;320783931,0478055;-0,0;-0,0;-0,0
FR;Energy;NewHydroRiver;0,0;0,0;0,0;0,0
FR;Energy;WindOnShore;0,0;0,0;0,0;0,0
FR;Energy;WindOffShore;0,0;0,0;0,0;0,0
FR;Energy;Solar;0,0;0,0;0,0;0,0
FR;Energy;HydroRiver;0,0;0,0;0,0;0,0
FR;Energy;NewNuke;117595962,5884236;355753542,27509826;835552660,7185183;1313669763,789218
FR;Energy;TAC;-0,0;-0,0;-0,0;-0,0
FR;Energy;curtailment;-0,0;-0,0;-0,0;-0,0
FR;Energy;HydroReservoir;0,0;0,0;0,0;0,0
FR;Energy;Coal;-0,0;-0,0;-0,0;-0,0
FR;Energy;Geothermal;0,0;0,0;0,0;0,0
FR;Energy;Biomass;587999999,9999989;614249999,9999992;630000000,0;630000000,0000012
FR;Energy;OldNuke;3721305907,89641;2633996427,9845777;869805855,7789094;-0,0
FR;Capacity;CCG;137586292,90364656;0,0;-0,0;-0,0
FR;Capacity;NewHydroRiver;196208186,04604128;196208186,04604128;196208186,04604128;196208186,04604128
FR;Capacity;WindOnShore;2547322995,2342777;2669261964,931158;2776675289,5681977;2776675289,5681977
FR;Capacity;WindOffShore;3012294565,814443;5128320556,75617;6282453230,308618;6282453230,308618
FR;Capacity;Solar;3901551654,5181046;9260417390,857073;12794564567,935139;14615920460,299976
FR;Capacity;HydroRiver;997312362,3765999;997312362,3765999;997312362,3765999;997312362,3765999
FR;Capacity;NewNuke;1002867164,4757764;1638301420,441303;3583460579,9682364;5634661666,016892
FR;Capacity;TAC;-0,0;-0,0;-0,0;-0,0
FR;Capacity;curtailment;0,0;0,0;0,0;0,0
FR;Capacity;HydroReservoir;620026390,90245;620026390,90245;620026390,90245;620026390,90245
FR;Capacity;Coal;-0,0;-0,0;-0,0;-0,0
FR;Capacity;Geothermal;0,0;0,0;0,0;0,0
FR;Capacity;Biomass;725452780,9643779;725452780,9643779;725452780,9643779;725452780,9643779
FR;Capacity;OldNuke;12937009035,474829;9192830078,547905;3019288496,0800247;-0,0
FR;Storage;PowertoH2toPower;791363595,9358023;2069352235,470647;2527097095,3945723;3041451208,9962635
FR;Storage;Battery;375390593,71836793;906962365,694377;640678530,703199;841600665,461475
FR;Storage;HydroStorage;487480590,384051;1052297673,7167305;1052297673,7167305;1052297673,7167305
FR;Flex;Steel;-100175553,82422401;-122730248,18580247;-201707938,9605792;-192259941,67777976
FR;Flex;EV;108584118,826103;879488649,6586398;1328598709,5266492;1468389650,233204
