AREAS;COST_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Energy;CCG;8492862,20113825;-0,0;-0,0;-0,0
FR;Energy;OldNuke;3830976391,4502172;3680654357,1751084;2605242391,855893;863609180,2138451
FR;Energy;HydroRiver;0,0;0,0;0,0;0,0
FR;Energy;WindOffShore;0,0;0,0;0,0;0,0
FR;Energy;Biomass;588000000,0000012;339938373,3265523;-0,0;-0,0
FR;Energy;NewHydroRiver;0,0;0,0;0,0;0,0
FR;Energy;Geothermal;0,0;0,0;0,0;0,0
FR;Energy;TAC;-0,0;-0,0;-0,0;-0,0
FR;Energy;NewNuke;117543126,72076762;640054082,9954462;1888389149,000127;3399379850,6078486
FR;Energy;WindOnShore;0,0;0,0;0,0;0,0
FR;Energy;HydroReservoir;0,0;0,0;0,0;0,0
FR;Energy;curtailment;-0,0;-0,0;-0,0;-0,0
FR;Energy;Solar;0,0;0,0;0,0;0,0
FR;Energy;Coal;-0,0;-0,0;-0,0;-0,0
FR;Capacity;CCG;6055480,918327201;0,0;-0,0;-0,0
FR;Capacity;OldNuke;13333195413,475235;12937009035,474829;9192830078,547905;3019288496,0800247
FR;Capacity;HydroRiver;997312362,3765999;997312362,3765999;997312362,3765999;997312362,3765999
FR;Capacity;WindOffShore;3012294565,814443;5128320556,75617;6282453230,308618;6282453230,308618
FR;Capacity;Biomass;725452780,9643779;401480241,41027474;0,0;0,0
FR;Capacity;NewHydroRiver;196208186,04604128;196208186,04604128;196208186,04604128;196208186,04604128
FR;Capacity;Geothermal;0,0;0,0;0,0;0,0
FR;Capacity;TAC;-0,0;-0,0;-0,0;-0,0
FR;Capacity;NewNuke;1002867164,4757764;2958135430,49622;8207875004,503081;14779088064,599075
FR;Capacity;WindOnShore;2547322995,2342777;2669261964,931158;2776675289,5681977;2776675289,5681977
FR;Capacity;HydroReservoir;620026390,90245;620026390,90245;620026390,90245;620026390,90245
FR;Capacity;curtailment;0,0;0,0;0,0;0,0
FR;Capacity;Solar;3580413378,6921673;5082948478,54081;5975955149,728537;6080533822,656127
FR;Capacity;Coal;-0,0;-0,0;-0,0;-0,0
FR;Storage;PowertoH2toPower;794066392,442516;1830123541,1097994;1890756181,569222;1898913196,2475352
FR;Storage;Battery;322075062,5180148;215584449,05846143;-0,0;-0,0
FR;Storage;HydroStorage;487480590,384051;487480590,3840511;487480590,3840511;487480590,3840511
FR;Flex;EV;78244882,95746653;584601284,7687169;601164401,7018778;672718265,2073072
FR;Flex;Steel;-99398740,80788405;-118368465,87712397;-200271331,7823227;-199272090,21153405
