AREAS;COST_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Energy;CCG;320783931,0478055;-0,0;-0,0;-0,0
FR;Energy;NewHydroRiver;0,0;0,0;0,0;0,0
FR;Energy;WindOnShore;0,0;0,0;0,0;0,0
FR;Energy;WindOffShore;0,0;0,0;0,0;0,0
FR;Energy;Solar;0,0;0,0;0,0;0,0
FR;Energy;HydroRiver;0,0;0,0;0,0;0,0
FR;Energy;NewNuke;117595962,5884236;641056966,419479;1906649541,4281554;2817845997,7800293
FR;Energy;TAC;-0,0;-0,0;-0,0;-0,0
FR;Energy;curtailment;-0,0;-0,0;-0,0;-0,0
FR;Energy;HydroReservoir;0,0;0,0;0,0;0,0
FR;Energy;Coal;-0,0;-0,0;-0,0;-0,0
FR;Energy;Geothermal;0,0;0,0;0,0;0,0
FR;Energy;Biomass;587999999,9999989;614250000,0000018;629999999,9999998;177856140,05089167
FR;Energy;OldNuke;3721305907,89641;2625944954,300869;868104257,4282715;-0,0
FR;Capacity;CCG;137586292,90364656;0,0;-0,0;-0,0
FR;Capacity;NewHydroRiver;196208186,04604128;196208186,04604128;196208186,04604128;196208186,04604128
FR;Capacity;WindOnShore;2547322995,2342777;2669261964,931158;2776675289,5681977;2776675289,5681977
FR;Capacity;WindOffShore;3012294565,814443;5128320556,75617;6282453230,308618;6282453230,308618
FR;Capacity;Solar;3901551654,5181046;8412630167,302911;9574428247,231472;10166656615,634365
FR;Capacity;HydroRiver;997312362,3765999;997312362,3765999;997312362,3765999;997312362,3765999
FR;Capacity;NewNuke;1002867164,4757764;2958135430,49622;8207875004,503081;12119896237,476116
FR;Capacity;TAC;-0,0;-0,0;-0,0;-0,0
FR;Capacity;curtailment;0,0;0,0;0,0;0,0
FR;Capacity;HydroReservoir;620026390,90245;620026390,90245;620026390,90245;620026390,90245
FR;Capacity;Coal;-0,0;-0,0;-0,0;-0,0
FR;Capacity;Geothermal;0,0;0,0;0,0;0,0
FR;Capacity;Biomass;725452780,9643779;725452780,9643779;725452780,9643779;204803541,92304596
FR;Capacity;OldNuke;12937009035,474829;9192830078,547905;3019288496,0800247;-0,0
FR;Storage;PowertoH2toPower;791363595,9358023;1985865235,7097628;1822712258,6624339;1928880025,918321
FR;Storage;Battery;375390593,71836793;654780665,0127472;262820063,24207866;242743705,7893662
FR;Storage;HydroStorage;487480590,384051;1052297673,7167305;1052297673,7167305;1052297673,7167305
FR;Flex;Steel;-100175553,82422401;-115762138,68782249;-203710944,67647022;-204838029,6741048
FR;Flex;EV;108584118,826103;844896066,5554751;1105393324,462743;1221134236,623057
