Year;AREAS;Conso_H2;H2_to_power;Electricity_for_H2;Conso_elec_tot;Electrolysis_capacity;Storage_capacity
2030;BE;1969365,079;0;3030481,66;92105959,83;348,8089854;10701,17623
2030;CH;2450677,603;0;3770273,235;67386419,72;430,396488;0
2030;DE;28020476,19;453631,1129;44575953,1;545588531,3;5427,34334;862063,1213
2030;ES;11570000;0;17861046,52;271520061,3;4612,761967;811738,8793
2030;GB;18806315,85;0;28935554,4;327309721,3;3312,672359;40181,53747
2030;IT;11577936,51;0;17821536,34;349230508,2;2063,085487;99845,56978
2030;FR;25823963,17;0;39740036,47;519077328,7;4617,089297;199562,8723
2040;BE;10458837,21;0;14985233,04;103519591,2;3458,289741;517262,2759
2040;CH;3781890,235;0;5404671,743;74700539,35;641,0221613;50615,95323
2040;DE;72933488,37;535885,5326;105871093,2;617826671,1;29760,54304;4743652,094
2040;ES;72330000;0;103733170,2;308340265,3;24568,73382;4996221,725
2040;GB;28702531,47;0;41073918,71;382932068;8476,242338;1025195,638
2040;IT;32812558,14;0;47116413,01;397809259,3;10751,53901;3143569,77
2040;FR;43652018,29;0;62573380,2;595033876,7;14923,73185;2432455,674
2050;BE;24344328,36;1560688,055;38824286,03;118573943,5;11936,96695;2717029,076
2050;CH;5641544,236;0;8065987,548;82795437,93;1138,797185;137985,4198
2050;DE;140558955,2;21216708,62;254598694,7;702757190,4;62859,8286;18994797,72
2050;ES;122120000;0;175059575,3;346597934;46191,05642;7491497,966
2050;GB;42568433,49;2067524,082;66079486,02;435566270;16386,08831;2960852,331
2050;IT;61824626,87;1614599,796;92954602,18;450177841,6;22290,54309;7360780,208
2050;FR;67252138,85;383768,7705;97251651,52;682750972,2;24135,31125;3111232,216
2060;BE;24344328,36;2773830,876;41911380,82;119228076,1;14079,04657;3561400,43
2060;CH;6061679,4;0;8695230,799;83612060,79;1469,697131;625870,2094
2060;DE;140558955,2;21437331,05;255208237,4;703799830,5;65198,03163;19596710,88
2060;ES;122120000;0;175177894,7;344919355,6;45415,71842;8489502,277
2060;GB;45444432,19;2943505,455;72416291,29;442724665,2;18812,30014;3607795,26
2060;IT;61824626,87;1359068,433;92403958,37;447101019,9;23226,64181;8015537,745
2060;FR;69568061,64;1023029,561;102337455,9;686514854,4;31098,95001;4843857,89
