Year;AREAS;Conso_H2;H2_to_power;Electricity_for_H2;Conso_elec_tot;Electrolysis_capacity;Storage_capacity
2030;BE;1969365,079;0,0;3030481,66006173;92105959,825691;348,8089853649035;10701,17623269659
2030;CH;2450677,6028232067;0,0;3770273,235112625;67386419,7232623;430,3964880265554;0,0
2030;DE;28020476,19;453631,1128944042;44575953,0962274;545588531,3378661;5427,343339983497;862063,1212874618
2030;ES;11570000,0;0,0;17861046,518721476;271520061,33828104;4612,761967464973;811738,8793121973
2030;GB;18806315,853879467;0,0;28935554,4032103;327309721,3083012;3312,6723588644873;40181,537471865886
2030;IT;11577936,51;0,0;17821536,33575048;349230508,15943646;2063,085487352926;99845,56978043925
2030;FR;25823963,174894992;0,0;39740036,46520096;519077328,6893507;4617,08929701557;199562,8723459849
2040;BE;10458837,21;0,0;14991513,317688758;103518626,76609975;3466,012516278139;592761,686587722
2040;CH;3781890,2354845675;0,0;5403987,530553768;74700596,94627498;632,3252129892886;34781,42254630784
2040;DE;72933488,37;506248,1587712646;105787587,40037863;617829526,8296846;29280,28270678223;4604083,192023493
2040;ES;72330000,0;0,0;103746304,80742009;308339450,39830214;24596,52234506887;5142671,894022983
2040;GB;28702531,46538165;0,0;41072989,47815561;382935819,66502035;8371,389893805926;1024153,6510873433
2040;IT;32812558,139999997;0,0;47116085,08977294;397809019,52543193;10798,669032082955;3164116,9823022014
2040;FR;43652018,291319996;0,0;62541275,46261659;595029992,4622592;14313,508170544199;2042311,6039786993
2050;BE;24344328,360000003;383910,5350726768;35827793,52000916;118574680,24935998;9181,311202558914;1257568,0870806286
2050;CH;5641544,236002288;0,0;8065822,747406348;82795321,46043676;1011,3583676512542;125028,52338637972
2050;DE;140558955,20000002;20756690,593702495;253391566,13929015;702756152,9672993;62741,43839016159;17675259,921648085
2050;ES;122120000,0;0,0;174958289,53390664;346600577,2605551;43629,290465699654;6518151,331749468
2050;GB;42568433,488604456;1532229,6687989796;64750129,80918532;435569290,32085973;15895,101156991113;2278223,614411974
2050;IT;61824626,870000005;1501341,3939698404;92561125,41021878;450182253,12052727;20714,084702628148;6134722,831123334
2050;FR;67252138,85198501;0,0;96211535,62767144;682756937,729665;17755,324506760924;1742103,2409293875
2060;BE;24344328,360000003;484887,03287200455;36125205,67927898;119231523,4869194;10509,429029833444;1626203,5152963512
2060;CH;6061679,400412374;0,0;8666310,445224931;83612999,14191942;1114,9189531288528;132546,42630778454
2060;DE;140558955,20000002;20235476,327761706;252085545,20949543;703802117,0505905;63211,87203655549;16821458,985098794
2060;ES;122120000,0;0,0;175007370,3637552;344921715,8261994;44559,17610673667;6828016,6653590575
2060;GB;45444432,18769983;2296735,605231594;70761031,69294538;442737775,2320798;16505,93632805981;2558518,2335072407
2060;IT;61824626,870000005;1374025,7434149454;92215290,57442908;447105448,4137707;21098,859916309026;6427697,042615681
2060;FR;69568061,640955;0,0;99520574,99805287;686531444,4431556;18786,893577939616;1861301,5332957944
