EXCHANGE_TYPE;AREAS_from;2030;2040;2050;2060
Imports;BE;3220200,13449632;6152001,426114206;18964589,982703954;20617668,02824345
Imports;CH;1595946,4226974642;3746858,9643102563;6828960,555723565;6285573,773147899
Imports;DE;15049459,971229613;13975673,92492811;18981016,98260471;22261855,064509004
Imports;ES;25513317,553116754;58202448,25782715;74154326,3075856;77093619,503149
Imports;FR;0,0;0,0;0,0;0,0
Imports;GB;9957603,431876685;9505131,85980739;39594499,251907185;35587941,55333029
Imports;IT;2984951,9845976066;6182198,804843187;12493821,721028274;13681087,553643337
Exports;BE;18151265,54050987;31170895,883915305;26501582,52356464;24361207,30409606
Exports;CH;23006622,01984605;25679954,75893221;30430677,454716388;31497784,49188704
Exports;DE;23469501,608552255;37162266,30845731;40691746,61481394;36438985,582933426
Exports;ES;14661467,692433974;9904569,659394482;8398042,031143708;7604382,334688327
Exports;FR;0,0;0,0;0,0;0,0
Exports;GB;31596909,486447588;48125855,60498283;30297606,215885017;35552742,63951655
Exports;IT;23051851,91678944;19311303,345286995;19292019,332299672;17397278,010084752
