TECHNOLOGIES;2030;2040;2050;2060
Biomass;14999999,999999978;14999999,999999989;15000000,000000041;15000000,000000032
CCG;3535803,824168578;0,0;0,0;0,0
Coal;0,0;0,0;0,0;0,0
Geothermal;0,0;0,0;0,0;0,0
HydroReservoir;14372259,999999989;14372260,000000006;14372260,000000002;14372259,999999996
HydroRiver;49687656,178137265;48587736,1972531;48059823,09493075;48011242,25790665
NewHydroRiver;5272835,8736482635;4990755,162208309;4837577,063175867;4734401,5196357425
NewNuke;11759596,258842368;11637098,264251426;11712426,0;0,0
OldNuke;372130590,78964156;260797511,6507757;86336299,94829609;0,0
Solar;66193870,1095388;182702388,687462;294956693,49260646;381276094,46643245
TAC;0,0;0,0;0,0;0,0
WindOffShore;45344656,08426593;94898162,48381107;143642414,06144774;140340003,90507543
WindOnShore;52488081,68097735;121556595,1978713;162195927,7309086;157858769,15145537
curtailment;0,0;0,0;0,0;0,0
