TECHNOLOGIES;2030;2040;2050;2060
Biomass;14999999,999999978;15000000,000000006;15000000,000000013;15000000,00000003
CCG;3535803,824168578;0,0;0,0;0,0
Coal;0,0;0,0;0,0;0,0
Geothermal;0,0;0,0;0,0;0,0
HydroReservoir;14372259,999999989;14372259,999999998;14372260,000000004;14372259,999999996
HydroRiver;49687656,178137265;49020614,152378015;48813823,64986725;48834536,94515231
NewHydroRiver;5272835,8736482635;4942935,45816733;4845309,345475242;4799027,535571997
NewNuke;11759596,258842368;35575354,227509804;83555266,07185182;131366976,37892184
OldNuke;372130590,78964156;263399642,7984573;86980585,57789092;0,0
Solar;66193870,1095388;193478911,98865002;291846532,9229899;332934813,45312387
TAC;0,0;0,0;0,0;0,0
WindOffShore;45344656,08426593;93635142,42129403;142090187,88434884;140703714,14962775
WindOnShore;52488081,68097735;66515363,080997795;80972184,85468061;81286704,72850262
curtailment;0,0;0,0;0,0;0,0
