TECHNOLOGIES;2030;2040;2050;2060
Biomass;15000000,00000002;8301303,377937627;0,0;0,0
CCG;93611,5925471516;0,0;0,0;0,0
Coal;0,0;0,0;0,0;0,0
Geothermal;0,0;0,0;0,0;0,0
HydroReservoir;14372260,0;14372259,999999993;14372260,000000002;14372260,000000002
HydroRiver;49693455,68318721;49280720,266727306;49366726,30998823;49448737,85429572
NewHydroRiver;5301250,813887307;5140989,874786568;5025444,183266932;5062587,154240182
NewNuke;11754312,67207676;64005408,29954452;188838914,90001288;339937985,06078523
OldNuke;383097639,14502186;368065435,7175109;260524239,18558958;86360918,02138457
Solar;60776057,700117;106596368,263136;137815646,32419515;140218995,65327886
TAC;0,0;0,0;0,0;0,0
WindOffShore;45414281,85168279;95813199,11550087;145646763,62803656;145977434,11406747
WindOnShore;52503329,29271942;67092718,230356626;82152280,42074226;82282993,02484702
curtailment;0,0;0,0;0,0;0,0
