TECHNOLOGIES;2030;2040;2050;2060
Biomass;14999999,999999978;15000000,000000011;15000000,000000017;4234670,001211903
CCG;3535803,824168578;0,0;0,0;0,0
Coal;0,0;0,0;0,0;0,0
Geothermal;0,0;0,0;0,0;0,0
HydroReservoir;14372259,999999989;14372259,999999998;14372260,000000004;14372259,999999996
HydroRiver;49687656,178137265;49168331,97664681;49180084,64158001;49118487,32653243
NewHydroRiver;5272835,8736482635;5007767,401061076;4996533,915765509;4962396,124075128
NewNuke;11759596,258842368;64105696,64194783;190664954,14281565;281784599,7780027
OldNuke;372130590,78964156;262594495,43008587;86810425,74282718;0,0
Solar;66193870,1095388;176086472,74373522;220323912,10572344;234010151,5372178
TAC;0,0;0,0;0,0;0,0
WindOffShore;45344656,08426593;94313042,95116134;144087636,71288958;144645557,37031654
WindOnShore;52488081,68097735;66796622,287221916;81643425,4478011;81576193,48474659
curtailment;0,0;0,0;0,0;0,0
