Date,TECHNOLOGIES,availabilityFactor
2013-01-01 00:00:00,WindOnShore,0.5266464
2013-01-01 01:00:00,WindOnShore,0.613247
2013-01-01 02:00:00,WindOnShore,0.6890207
2013-01-01 03:00:00,WindOnShore,0.6508455
2013-01-01 04:00:00,WindOnShore,0.5818164
2013-01-01 05:00:00,WindOnShore,0.5613545
2013-01-01 06:00:00,WindOnShore,0.5315136
2013-01-01 07:00:00,WindOnShore,0.4233713
2013-01-01 08:00:00,WindOnShore,0.3277413
2013-01-01 09:00:00,WindOnShore,0.2165766
2013-01-01 10:00:00,WindOnShore,0.1282633
2013-01-01 11:00:00,WindOnShore,0.08613909
2013-01-01 12:00:00,WindOnShore,0.07724616
2013-01-01 13:00:00,WindOnShore,0.04864214
2013-01-01 14:00:00,WindOnShore,0.02874347
2013-01-01 15:00:00,WindOnShore,0.0626613
2013-01-01 16:00:00,WindOnShore,0.1252355
2013-01-01 17:00:00,WindOnShore,0.1373537
2013-01-01 18:00:00,WindOnShore,0.210342
2013-01-01 19:00:00,WindOnShore,0.2720837
2013-01-01 20:00:00,WindOnShore,0.2926577
2013-01-01 21:00:00,WindOnShore,0.306579
2013-01-01 22:00:00,WindOnShore,0.2619633
2013-01-01 23:00:00,WindOnShore,0.3420968
2013-01-02 00:00:00,WindOnShore,0.4842941
2013-01-02 01:00:00,WindOnShore,0.613247
2013-01-02 02:00:00,WindOnShore,0.7377332
2013-01-02 03:00:00,WindOnShore,0.8165576
2013-01-02 04:00:00,WindOnShore,0.8557584
2013-01-02 05:00:00,WindOnShore,0.8557584
2013-01-02 06:00:00,WindOnShore,0.8557584
2013-01-02 07:00:00,WindOnShore,0.8557584
2013-01-02 08:00:00,WindOnShore,0.8557584
2013-01-02 09:00:00,WindOnShore,0.8557584
2013-01-02 10:00:00,WindOnShore,0.8557584
2013-01-02 11:00:00,WindOnShore,0.8557584
2013-01-02 12:00:00,WindOnShore,0.8077208
2013-01-02 13:00:00,WindOnShore,0.7639379
2013-01-02 14:00:00,WindOnShore,0.8208139
2013-01-02 15:00:00,WindOnShore,0.8557584
2013-01-02 16:00:00,WindOnShore,0.8289714
2013-01-02 17:00:00,WindOnShore,0.7937622
2013-01-02 18:00:00,WindOnShore,0.7791213
2013-01-02 19:00:00,WindOnShore,0.6562785
2013-01-02 20:00:00,WindOnShore,0.5266464
2013-01-02 21:00:00,WindOnShore,0.4110337
2013-01-02 22:00:00,WindOnShore,0.3171141
2013-01-02 23:00:00,WindOnShore,0.2356375
2013-01-03 00:00:00,WindOnShore,0.2197143
2013-01-03 01:00:00,WindOnShore,0.2260348
2013-01-03 02:00:00,WindOnShore,0.2788954
2013-01-03 03:00:00,WindOnShore,0.3171141
2013-01-03 04:00:00,WindOnShore,0.2892009
2013-01-03 05:00:00,WindOnShore,0.2388717
