Date,AREAS,areaConsumption
2017-01-01 00:00:00,IT,22515.0
2017-01-01 01:00:00,IT,21158.0
2017-01-01 02:00:00,IT,19807.0
2017-01-01 03:00:00,IT,19096.0
2017-01-01 04:00:00,IT,19091.0
2017-01-01 05:00:00,IT,19766.0
2017-01-01 06:00:00,IT,20008.0
2017-01-01 07:00:00,IT,20273.0
2017-01-01 08:00:00,IT,21531.0
2017-01-01 09:00:00,IT,22681.0
2017-01-01 10:00:00,IT,23576.0
2017-01-01 11:00:00,IT,23886.0
2017-01-01 12:00:00,IT,22581.0
2017-01-01 13:00:00,IT,21647.0
2017-01-01 14:00:00,IT,22111.0
2017-01-01 15:00:00,IT,23864.0
2017-01-01 16:00:00,IT,27750.0
2017-01-01 17:00:00,IT,29075.0
2017-01-01 18:00:00,IT,29650.0
2017-01-01 19:00:00,IT,29290.0
2017-01-01 20:00:00,IT,28143.0
2017-01-01 21:00:00,IT,26074.0
2017-01-01 22:00:00,IT,23658.0
2017-01-01 23:00:00,IT,21252.0
2017-01-02 00:00:00,IT,19425.0
2017-01-02 01:00:00,IT,18677.0
2017-01-02 02:00:00,IT,18466.0
2017-01-02 03:00:00,IT,18837.0
2017-01-02 04:00:00,IT,20349.0
2017-01-02 05:00:00,IT,23999.0
2017-01-02 06:00:00,IT,28050.0
2017-01-02 07:00:00,IT,31901.0
2017-01-02 08:00:00,IT,34179.0
2017-01-02 09:00:00,IT,34250.0
2017-01-02 10:00:00,IT,34217.0
2017-01-02 11:00:00,IT,33340.0
2017-01-02 12:00:00,IT,32496.0
2017-01-02 13:00:00,IT,33105.0
2017-01-02 14:00:00,IT,34180.0
2017-01-02 15:00:00,IT,35626.0
2017-01-02 16:00:00,IT,39067.0
2017-01-02 17:00:00,IT,39233.0
2017-01-02 18:00:00,IT,38519.0
2017-01-02 19:00:00,IT,36141.0
2017-01-02 20:00:00,IT,33400.0
2017-01-02 21:00:00,IT,30331.0
2017-01-02 22:00:00,IT,27134.0
2017-01-02 23:00:00,IT,24458.0
2017-01-03 00:00:00,IT,22566.0
2017-01-03 01:00:00,IT,21643.0
2017-01-03 02:00:00,IT,21230.0
2017-01-03 03:00:00,IT,21427.0
2017-01-03 04:00:00,IT,22884.0
2017-01-03 05:00:00,IT,26758.0
2017-01-03 06:00:00,IT,30915.0
2017-01-03 07:00:00,IT,35124.0
2017-01-03 08:00:00,IT,37913.0
2017-01-03 09:00:00,IT,38087.0
2017-01-03 10:00:00,IT,37981.0
2017-01-03 11:00:00,IT,36725.0
2017-01-03 12:00:00,IT,35619.0
