AREAS,TECHNOLOGIES,energyCost,margvarCost,capacityCost,EnergyNbhourCap,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
FR,CCG,39.74,0.0005,101000.0,0.0,6564.0,6564.0,0.35,0.35,0.0,0.0
FR,TAC,57.23,0.0,74000.0,0.0,703.0,703.0,0.0,0.0,0.0,0.0
FR,OldNuke,10.0,0.0,177024.52,0.0,63130.0,63130.0,0.08,0.08,0.0,0.0
FR,NewNuke,0.0,0.0,1e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,WindOnShore,0.0,0.0,168000.0,0.0,12518.0,12518.0,0.0,0.0,0.0,0.0
FR,WindOffShore,0.0,0.0,265328.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,HydroRiver,0.0,0.0,121000.0,0.0,11222.0,11222.0,0.0,0.0,0.0,0.0
FR,Solar,0.0,0.0,227000.0,0.0,7170.0,7170.0,0.0,0.0,0.0,0.0
FR,HydroReservoir,0.0,0.0,121000.0,2100.0,8578.0,8578.0,0.0,0.0,0.0,0.0
FR,Biomass,60.0,0.0005,293490.3,0.0,1840.0,1840.0,0.15,0.15,0.0,0.0
FR,Coal,37.13,0.0005,124000.0,0.0,2997.0,2997.0,0.15,0.15,0.0,0.0
FR,Lignite,31.24,0.0005,139745.93,0.0,0.0,0.0,0.15,0.15,0.0,0.0
FR,curtailment,5000.0,0.0,0.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0
DE,CCG,39.74,0.0005,101000.0,0.0,17112.0,17112.0,0.35,0.35,0.0,0.0
DE,TAC,57.23,0.0,74000.0,0.0,10888.0,10888.0,0.0,0.0,0.0,0.0
DE,Coal,37.13,0.0005,124000.0,0.0,25035.0,25035.0,0.15,0.15,0.0,0.0
DE,Lignite,31.24,0.0005,139745.93,0.0,21275.0,21275.0,0.15,0.15,0.0,0.0
DE,WindOnShore,0.0,0.0,168000.0,0.0,51633.0,51633.0,0.0,0.0,0.0,0.0
DE,WindOffShore,0.0,0.0,265328.27,0.0,5051.0,5051.0,0.0,0.0,0.0,0.0
DE,HydroRiver,0.0,0.0,121000.0,0.0,3860.06,3860.06,0.0,0.0,0.0,0.0
DE,Solar,0.0,0.0,227000.0,0.0,42804.25,42804.25,0.0,0.0,0.0,0.0
DE,HydroReservoir,0.0,0.0,121000.0,700.0,1440.0,1440.0,0.0,0.0,0.0,0.0
DE,Biomass,60.0,0.0005,293490.3,0.0,7396.49,7396.49,0.15,0.15,0.0,0.0
DE,OldNuke,10.0,0.0,177024.52,0.0,9516.0,9516.0,0.08,0.08,0.0,0.0
DE,NewNuke,0.0,0.0,1e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,curtailment,5000.0,0.0,0.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0
GB,CCG,39.74,0.0005,101000.0,0.0,37225.13,37225.13,0.35,0.35,0.0,0.0
GB,TAC,57.23,0.0,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,WindOnShore,0.0,0.0,168000.0,0.0,13139.25,13139.25,0.0,0.0,0.0,0.0
GB,WindOffShore,0.0,0.0,265328.27,0.0,6071.0,6071.0,0.0,0.0,0.0,0.0
GB,HydroRiver,0.0,0.0,121000.0,0.0,1758.0,1758.0,0.0,0.0,0.0,0.0
GB,OldNuke,10.0,0.0,177024.52,0.0,8974.0,8974.0,0.08,0.08,0.0,0.0
GB,NewNuke,0.0,0.0,1e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,Solar,0.0,0.0,227000.0,0.0,12563.42,12563.42,0.0,0.0,0.0,0.0
GB,Biomass,60.0,0.0005,293490.3,0.0,2099.0,2099.0,0.15,0.15,0.0,0.0
GB,Coal,37.13,0.0005,124000.0,0.0,11427.0,11427.0,0.15,0.15,0.0,0.0
GB,Lignite,31.24,0.0005,139745.93,0.0,0.0,0.0,0.15,0.15,0.0,0.0
GB,HydroReservoir,0.0,0.0,121000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,curtailment,5000.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0
CH,OldNuke,10.0,0.0,177024.52,0.0,3373.0,3373.0,0.08,0.08,0.0,0.0
CH,Solar,0.0,0.0,227000.0,0.0,2193.0,2193.0,0.0,0.0,0.0,0.0
CH,HydroRiver,0.0,0.0,121000.0,0.0,528.5,528.5,0.0,0.0,0.0,0.0
CH,HydroReservoir,0.0,0.0,121000.0,1900.0,5404.8,5404.8,0.0,0.0,0.0,0.0
CH,WindOnShore,0.0,0.0,168000.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
CH,CCG,39.74,0.0005,101000.0,0.0,500.0,500.0,0.35,0.35,0.0,0.0
CH,TAC,57.23,0.0,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,Coal,37.13,0.0005,124000.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0
CH,Lignite,31.24,0.0005,139745.93,0.0,0.0,0.0,0.15,0.15,0.0,0.0
CH,WindOffShore,0.0,0.0,265328.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,Biomass,60.0,0.0005,293490.3,0.0,300.0,300.0,0.15,0.15,0.0,0.0
CH,NewNuke,0.0,0.0,1e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,curtailment,5000.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0
