AREAS;STOCK_TECHNO;storageCost;p_max;c_min;c_max;efficiency_in;dissipation;efficiency_out
FR;Battery;31670.27;3000;0.0;12000;0.92;0.0021;0.92
FR;HydroStorage;3611.92;8000;136000;136000;0.89;0;0.89
BE;Battery;31670.27;0.0;0.0;0.0;0.92;0.0021;0.92
BE;HydroStorage;3611.92;1300;22100;22100;0.89;0;0.89
DE;Battery;31670.27;0.0;0.0;0.0;0.92;0.0021;0.92
DE;HydroStorage;3611.92;9500;161500;161500;0.89;0;0.89
ES;Battery;31670.27;2500;0.0;10000;0.92;0.0021;0.92
ES;HydroStorage;3611.92;7890;134130;134130;0.89;0;0.89
GB;Battery;31670.27;11700;0.0;46800;0.92;0.0021;0.92
GB;HydroStorage;3611.92;4300;73100;73100;0.89;0;0.89
IT;Battery;31670.27;6000;0.0;24000;0.92;0.0021;0.92
IT;HydroStorage;3611.92;11900;202300;202300;0.89;0;0.89
CH;Battery;31670.27;1220;0.0;4880;0.92;0.0021;0.92
CH;HydroStorage;3611.92;3790;64430;64430;0.89;0;0.89
