AREAS;FLEX_CONSUM;unit;add_consum;LoadCost;flex_ratio;flex_type;labourcost
FR;Steel;TWh;7.56;2009000;0.375;week;78
FR;EV;million;5;3409;0.15;day;0
FR;H2;TWh;55;53000;1.0;year;0
DE;Steel;TWh;0;2009000;0.375;week;78
DE;EV;million;10;3409;0.15;day;0
DE;H2;TWh;55;53000;1.0;year;0
GB;Steel;TWh;0;2009000;0.375;week;78
GB;EV;million;10;3409;0.15;day;0
GB;H2;TWh;66;53000;1.0;year;0
IT;Steel;TWh;0;2009000;0.375;week;78
IT;EV;million;6;3409;0.15;day;0
IT;H2;TWh;22;53000;1.0;year;0
ES;Steel;TWh;0;2009000;0.375;week;78
ES;EV;million;5;3409;0.15;day;0
ES;H2;TWh;27.5;53000;1.0;year;0
CH;Steel;TWh;0;2009000;0.375;week;78
CH;EV;million;0.5;3409;0.15;day;0
CH;H2;TWh;0;53000;1.0;year;0
BE;Steel;TWh;5;2009000;0.375;week;78
BE;EV;million;0.5;3409;0.15;day;0
BE;H2;TWh;60;53000;1.0;year;0
