Mois,heures,Nature,type,UsagesGroupe,UsageDetail,WeekDay,Conso
1,1,Autre,Autre,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,Agroalimentaires,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,ChimieMateriaux,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,ComposantsElec,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,ConstructionMecanique,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,ConstructionNavArm,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,EquipTransport,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,FonderieMetaux,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,MineraiMetal,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,papier,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,ParachimiePharma,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,Textile,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,Principal,Residentiel,Chauffage,AuxiliaireChauffage,Week,0.00624965
1,1,Secondaire,Residentiel,Chauffage,AuxiliaireChauffage,Week,0.0014286820000000001
1,1,MatConstruction,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,MatVerre,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,ADMBUR,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.000135048
1,1,Autres,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,CHR,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.003275472
1,1,COM,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.004201555
1,1,ENS,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.000149381
1,1,EP,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,HCO,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.00012837799999999998
1,1,SAN,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.000378148
1,1,SPL,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,1,TRA,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,Autre,Autre,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,Agroalimentaires,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,ChimieMateriaux,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,ComposantsElec,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,ConstructionMecanique,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,ConstructionNavArm,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,EquipTransport,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,FonderieMetaux,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,MineraiMetal,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,papier,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,ParachimiePharma,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,Textile,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,Principal,Residentiel,Chauffage,AuxiliaireChauffage,Week,0.006274732
1,2,Secondaire,Residentiel,Chauffage,AuxiliaireChauffage,Week,0.001434155
1,2,MatConstruction,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,MatVerre,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,ADMBUR,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.00013559
1,2,Autres,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,CHR,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.00328802
1,2,COM,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.004218417
1,2,ENS,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.000149985
1,2,EP,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,HCO,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.000128893
1,2,SAN,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.00037965599999999997
1,2,SPL,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,2,TRA,Tertiaire,Chauffage,AuxiliaireChauffage,Week,0.0
1,3,Autre,Autre,Chauffage,AuxiliaireChauffage,Week,0.0
1,3,Agroalimentaires,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
1,3,ChimieMateriaux,Ind,Chauffage,AuxiliaireChauffage,Week,0.0
