AREAS;CAPA_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Production;CCG;1674,7594692699777;0,0;0,0;0,0
FR;Production;NewHydroRiver;1200,0;1200,0;1200,0;1200,0
FR;Production;WindOnShore;23400,0;55217,0;75217,0;75217,0
FR;Production;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
FR;Production;Solar;48069,553346164284;132558,58967437953;215284,591094893;279801,39402616036
FR;Production;HydroRiver;11030,0;11030,0;11030,0;11030,0
FR;Production;NewNuke;1650,0;1650,0;1650,0;0,0
FR;Production;TAC;0,0;0,0;0,0;0,0
FR;Production;curtailment;0,0;0,0;0,0;0,0
FR;Production;HydroReservoir;8785,0;8785,0;8785,0;8785,0
FR;Production;Coal;0,0;0,0;0,0;0,0
FR;Production;Geothermal;0,0;0,0;0,0;0,0
FR;Production;Biomass;3000,0;3000,0;3000,0;3000,0
FR;Production;OldNuke;59430,0;42230,0;13870,0;0,0
FR;Storage_in;PowertoH2toPower;4617,08929701557;14923,731846293966;24135,31125000973;31098,950007967178
FR;Storage_in;Battery;5980,639764354109;18452,276546850055;17285,92410891154;30182,830142672734
FR;Storage_in;HydroStorage;5049,0;10899,0;10899,0;10899,0
FR;Storage_out;PowertoH2toPower;0,0;0,0;3517,1135382400357;7762,0123985184055
FR;Storage_out;Battery;5980,639764354109;18452,276546850055;17285,92410891154;30182,830142672734
FR;Storage_out;HydroStorage;5049,0;10899,0;10899,0;10899,0
FR;Storage_energy;PowertoH2toPower;199562,8723459849;2432455,674491695;3111232,2158864476;4843857,8896055035
FR;Storage_energy;Battery;9535,021332049415;22233,273904427613;18195,709588327933;37058,623134952744
FR;Storage_energy;HydroStorage;90882,0;196182,0;196182,0;196182,0
FR;Flex;Steel;0,0;0,0;0,0;0,0
FR;Flex;EV;1922,7882391100968;16204,25526841667;25464,389420595693;29906,069064186497
