AREAS;CAPA_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Production;CCG;1674,7594692699777;0,0;0,0;0,0
FR;Production;NewHydroRiver;1200,0;1200,0;1200,0;1200,0
FR;Production;WindOnShore;23400,0;30200,0;37000,0;37000,0
FR;Production;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
FR;Production;Solar;48069,553346164284;140932,83129886186;214100,7461964694;244578,81784745184
FR;Production;HydroRiver;11030,0;11030,0;11030,0;11030,0
FR;Production;NewNuke;1650,0;4990,0;11670,0;18350,0
FR;Production;TAC;0,0;0,0;0,0;0,0
FR;Production;curtailment;0,0;0,0;0,0;0,0
FR;Production;HydroReservoir;8785,0;8785,0;8785,0;8785,0
FR;Production;Coal;0,0;0,0;0,0;0,0
FR;Production;Geothermal;0,0;0,0;0,0;0,0
FR;Production;Biomass;3000,0;3000,0;3000,0;3000,0
FR;Production;OldNuke;59430,0;42230,0;13870,0;0,0
FR;Storage_in;PowertoH2toPower;4617,08929701557;14862,103863446018;22662,187722424704;26655,228454560216
FR;Storage_in;Battery;5980,639764354109;19933,447995501385;15712,408423381878;20096,773485963495
FR;Storage_in;HydroStorage;5049,0;10899,0;10899,0;10899,0
FR;Storage_out;PowertoH2toPower;0,0;0,0;1815,7801159891198;2760,0987463939828
FR;Storage_out;Battery;5980,639764354109;19933,447995501385;15712,408423381878;20096,773485963495
FR;Storage_out;HydroStorage;5049,0;10899,0;10899,0;10899,0
FR;Storage_energy;PowertoH2toPower;199562,8723459849;2612219,8193627526;2870267,610372236;3603987,881037008
FR;Storage_energy;Battery;9535,021332049415;23927,11333656115;16539,377287770396;22275,859585066966
FR;Storage_energy;HydroStorage;90882,0;196182,0;196182,0;196182,0
FR;Flex;Steel;0,0;0,0;0,0;0,0
FR;Flex;EV;1922,7882391100968;16769,17299414602;25332,335566239537;27997,723537570924
