AREAS;CAPA_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Production;CCG;73,70991539145795;0,0;0,0;0,0
FR;Production;OldNuke;61250,0;59430,0;42230,0;13870,0
FR;Production;HydroRiver;11030,0;11030,0;11030,0;11030,0
FR;Production;WindOffShore;15200,0;32100,000000000004;49000,0;49000,0
FR;Production;Biomass;3000,0;1660,2606755876043;0,0;0,0
FR;Production;NewHydroRiver;1200,0;1200,0;1200,0;1200,0
FR;Production;Geothermal;0,0;0,0;0,0;0,0
FR;Production;TAC;0,0;0,0;0,0;0,0
FR;Production;NewNuke;1650,0;9010,0;26730,0;48130,0
FR;Production;WindOnShore;23400,0;30200,0;37000,0;37000,0
FR;Production;HydroReservoir;8785,0;8785,0;8785,0;8785,0
FR;Production;curtailment;0,0;0,0;0,0;0,0
FR;Production;Solar;44112,9292006314;77356,59098198578;99999,99999999999;101749,99092709624
FR;Production;Coal;0,0;0,0;0,0;0,0
FR;Storage_in;PowertoH2toPower;4632,003721114737;13192,950662489118;18359,951488998173;18487,717158613683
FR;Storage_in;Battery;5330,695844444812;5110,448136089123;0,0;0,0
FR;Storage_in;HydroStorage;5049,0;5049,0;5049,0;5049,0
FR;Storage_out;PowertoH2toPower;0,0;0,0;0,0;0,0
FR;Storage_out;Battery;5330,695844444812;5110,448136089123;-0,0;-0,0
FR;Storage_out;HydroStorage;5049,0;5049,0;5049,0;5049,0
FR;Storage_energy;PowertoH2toPower;209972,98096695275;1864103,5697249048;2199734,0727937804;1881666,49899629
FR;Storage_energy;Battery;8034,804440141002;5379,419090620129;0,0;0,0
FR;Storage_energy;HydroStorage;90882,0;90882,0;90882,0;90882,0
FR;Flex;EV;1385,5464532719104;11146,568043478028;11462,37629555979;12826,69079352151
FR;Flex;Steel;0,0;0,0;0,0;0,0
