AREAS;COST_TYPE;TECHNOLOGIES;2030;2040;2050;2060
FR;Energy;CCG;320783931,0478055;-0,0;-0,0;-0,0
FR;Energy;NewHydroRiver;0,0;0,0;0,0;0,0
FR;Energy;WindOnShore;0,0;0,0;0,0;0,0
FR;Energy;WindOffShore;0,0;0,0;0,0;0,0
FR;Energy;Solar;0,0;0,0;0,0;0,0
FR;Energy;HydroRiver;0,0;0,0;0,0;0,0
FR;Energy;NewNuke;117595962,5884236;116370982,64251426;117124260,0;-0,0
FR;Energy;TAC;-0,0;-0,0;-0,0;-0,0
FR;Energy;curtailment;-0,0;-0,0;-0,0;-0,0
FR;Energy;HydroReservoir;0,0;0,0;0,0;0,0
FR;Energy;Coal;-0,0;-0,0;-0,0;-0,0
FR;Energy;Geothermal;0,0;0,0;0,0;0,0
FR;Energy;Biomass;587999999,9999989;614249999,9999992;630000000,0000024;630000000,0000002
FR;Energy;OldNuke;3721305907,89641;2607975116,507753;863362999,4829606;-0,0
FR;Capacity;CCG;137586292,90364656;0,0;-0,0;-0,0
FR;Capacity;NewHydroRiver;196208186,04604128;196208186,04604128;196208186,04604128;196208186,04604128
FR;Capacity;WindOnShore;2547322995,2342777;4880418474,092839;5644680682,57976;5644680682,57976
FR;Capacity;WindOffShore;3012294565,814443;5128320556,75617;6282453230,308618;6282453230,308618
FR;Capacity;Solar;3901551654,5181046;8710162549,17192;12865310608,10728;16720805815,318565
FR;Capacity;HydroRiver;997312362,3765999;997312362,3765999;997312362,3765999;997312362,3765999
FR;Capacity;NewNuke;1002867164,4757764;1153033422,017374;1153033422,017374;-0,0
FR;Capacity;TAC;-0,0;-0,0;-0,0;-0,0
FR;Capacity;curtailment;0,0;0,0;0,0;0,0
FR;Capacity;HydroReservoir;620026390,90245;620026390,90245;620026390,90245;620026390,90245
FR;Capacity;Coal;-0,0;-0,0;-0,0;-0,0
FR;Capacity;Geothermal;0,0;0,0;0,0;0,0
FR;Capacity;Biomass;725452780,9643779;725452780,9643779;725452780,9643779;725452780,9643779
FR;Capacity;OldNuke;12937009035,474829;9192830078,547905;3019288496,0800247;-0,0
FR;Storage;PowertoH2toPower;791363595,9358023;2075074178,7703307;2858693446,936829;4035722783,758936
FR;Storage;Battery;375390593,71836793;841456451,681361;704839141,2397342;1335143668,1481566
FR;Storage;HydroStorage;487480590,384051;1052297673,7167305;1052297673,7167305;1052297673,7167305
FR;Flex;Steel;-100175553,82422401;-114499788,07011063;-185029367,45148966;-168023207,4584824
FR;Flex;EV;108584118,826103;849860550,0532876;1335524505,2167802;1568476173,9318466
