Year;AREAS;Conso_H2;H2_to_power;Electricity_for_H2;Conso_elec_tot;Electrolysis_capacity;Storage_capacity
2030;BE;1969365,079;0,0;3030481,66006173;92105959,825691;348,8089853649035;10701,17623269659
2030;CH;2450677,6028232067;0,0;3770273,235112625;67386419,7232623;430,3964880265554;0,0
2030;DE;28020476,19;453631,1128944042;44575953,0962274;545588531,3378661;5427,343339983497;862063,1212874618
2030;ES;11570000,0;0,0;17861046,518721476;271520061,33828104;4612,761967464973;811738,8793121973
2030;GB;18806315,853879467;0,0;28935554,4032103;327309721,3083012;3312,6723588644873;40181,537471865886
2030;IT;11577936,51;0,0;17821536,33575048;349230508,15943646;2063,085487352926;99845,56978043925
2030;FR;25823963,174894992;0,0;39740036,46520096;519077328,6893507;4617,08929701557;199562,8723459849
2040;BE;10458837,21;0,0;14990803,388275502;103518401,92936482;3629,662245673062;531847,3798201352
2040;CH;3781890,2354845675;0,0;5403258,210519548;74700641,90373777;621,3452175931208;9989,83345422057
2040;DE;72933488,37;526680,382617568;105827581,5520809;617824746,437382;29297,833581168892;4585821,18079857
2040;ES;72330000,0;0,0;103774873,7338131;308337324,74908704;25056,852219122455;5391139,439080442
2040;GB;28702531,46538165;0,0;41070727,989806965;382933687,31136537;8371,138803952099;995830,8453114798
2040;IT;32812558,139999997;0,0;47088766,00446815;397808615,16538197;11205,367790991326;2835642,3676752117
2040;FR;43652018,291319996;0,0;62597935,176167294;595032284,573204;14862,103863446018;2612219,8193627526
2050;BE;24344328,360000003;1296082,4087339405;38159843,8516033;118574818,65530354;12386,529499546123;2225416,260243207
2050;CH;5641544,236002288;0,0;8068167,388483609;82795694,7872467;1142,6651744653825;149096,43995496532
2050;DE;140558955,20000002;21009917,47154423;254063101,42119816;702756074,0689962;63148,51191192179;18491386,588098478
2050;ES;122120000,0;0,0;175116085,19206333;346598565,544687;45331,15207563521;7686138,904933803
2050;GB;42568433,488604456;1896968,0304164886;65663607,85300437;435564881,92970234;16386,296613579638;2799473,3381421417
2050;IT;61824626,870000005;1522154,35898732;92724841,39961155;450177220,5174134;22600,5075681465;7402943,158346061
2050;FR;67252138,85198501;162028,89382207242;96746689,10476893;682752358,2900631;22662,187722424704;2870267,610372236
2060;BE;24344328,360000003;1716575,876373101;39243433,085109375;119229490,81819074;13357,516474060534;2846942,3573370706
2060;CH;6061679,400412374;0,0;8666805,868000189;83612947,25415258;1306,2010062887484;166919,19542948875
2060;DE;140558955,20000002;20738018,841714554;253415995,2605214;703801687,3401024;64940,54050565068;18094036,929363884
2060;ES;122120000,0;0,0;175142709,4906263;344920300,6674426;45820,97775379358;7964841,541493065
2060;GB;45444432,18769983;2300547,0577587374;70772456,45103662;442733363,98222136;17968,41080234115;2583181,1299699144
2060;IT;61824626,870000005;1424794,4668952618;92505922,40372472;447099981,6430132;23020,01697450599;7619391,00687887
2060;FR;69568061,640955;381215,5509235589;100685734,57420099;686520993,6518837;26655,228454560216;3603987,881037008
