Year;AREAS;Conso_H2;H2_to_power;Electricity_for_H2;Conso_elec_tot;Electrolysis_capacity;Storage_capacity
2030;BE;1969365,079;0,0;3030509,9083020785;92105102,62485509;349,59552126146417;11255,786597858545
2030;CH;2450677,6028232067;0,0;3770273,2351126256;67386421,85448028;430,39648802655546;-6,310887241768094e-29
2030;DE;28020476,19;449495,5762342671;44562378,85487007;545588490,4711977;5430,568295279783;859679,8616285924
2030;ES;11570000,0;0,0;17860906,302936763;271519603,3868915;4654,049392583342;806097,3756847597
2030;GB;18806315,853879467;0,0;28935602,840014927;327309997,15465814;3313,5349895846493;41917,156987627255
2030;IT;11577936,51;0,0;17821613,91073697;349230570,6494802;2063,2784797154773;100511,69410017677
2030;FR;25823963,174894992;0,0;39740594,20262425;519078610,59063625;4632,003721114737;209972,98096695275
2040;BE;10458837,21;0,0;14967330,714203713;103519983,3831028;3263,9802582530538;460692,96570683713
2040;CH;3781890,2354845675;0,0;5407831,922307128;74700368,32328127;631,0492472881866;59691,94014201311
2040;DE;72933488,37;528104,6668112942;105856688,96084672;617841803,0346252;29288,611736278934;4737832,5686248
2040;ES;72330000,0;0,0;103694356,42801288;308341167,9527396;24780,550175555938;4725827,059494049
2040;GB;28702531,46538165;0,0;41073825,680888504;382935323,0645842;9072,386677398168;1020979,2117808064
2040;IT;32812558,139999997;0,0;47114462,445833564;397812601,2437483;10580,643069498512;3020042,3420504495
2040;FR;43652018,291319996;0,0;62488064,02639233;595042863,4488122;13192,950662489118;1864103,5697249048
2050;BE;24344328,360000003;560947,1320692268;36231263,032896616;118575138,6568533;7000,639007612151;1199395,3115662409
2050;CH;5641544,236002288;0,0;8059635,437782549;82795918,0986564;922,1350103813871;3963,0439505003633
2050;DE;140558955,20000002;22457563,00422061;257769639,96610156;702760931,2034122;61584,62543610694;22105966,59379984
2050;ES;122120000,0;0,0;174739264,6260703;346603038,34133816;40268,00813738813;4749959,2001592275
2050;GB;42568433,488604456;1189857,36954994;63860468,20678443;435570894,50496846;14298,04853655738;2016692,9543540683
2050;IT;61824626,870000005;1445164,1729005387;92479128,87328778;450185585,2388914;20035,877564551767;6773780,747139806
2050;FR;67252138,85198501;0,0;96208705,70258774;682785267,9299554;18359,951488998173;2199734,0727937804
2060;BE;24344328,360000003;419802,9244409595;35866049,585725926;119230130,71368298;7003,49881082293;939631,4427473001
2060;CH;6061679,400412374;0,0;8664930,576008733;83613313,58468716;1011,3327725984841;72518,21434838288
2060;DE;140558955,20000002;20915883,209155243;253794390,8696552;703798601,2998816;62147,08066049277;19228173,888434924
2060;ES;122120000,0;0,0;174917053,6174856;344927511,3811567;42987,748823454785;6415884,0488604475
2060;GB;45444432,18769983;1876783,8919199915;69669007,90998326;442736823,81636995;15541,342964999418;2118644,2339812163
2060;IT;61824626,870000005;1307623,6957458113;92048164,55130963;447109671,8840328;20355,024729902216;5883104,514748341
2060;FR;69568061,640955;0,0;99492539,98468958;686559086,1891394;18487,717158613683;1881666,49899629
