EXCHANGE_TYPE;AREAS_from;2030;2040;2050;2060
Imports;BE;3220200,13449632;4563285,5672938;17030401,649083793;20592656,816050295
Imports;CH;1595946,4226974642;3885639,685459833;6800503,438985019;6207712,508896026
Imports;DE;15049459,971229613;13138956,837499073;18090926,652886923;21410463,775658086
Imports;ES;25513317,553116754;55658925,564414494;72063319,1290025;78423499,47782595
Imports;FR;0,0;0,0;0,0;0,0
Imports;GB;9957603,431876685;7392983,0472171055;39224477,40376984;40523891,81111233
Imports;IT;2984951,9845976066;5194435,096208519;11878049,37797739;14539569,800533742
Exports;BE;18151265,54050987;33875277,36002935;28225864,356138438;24574614,330232732
Exports;CH;23006622,01984605;25823733,605831455;30519501,500620093;31910933,765081365
Exports;DE;23469501,608552255;38521948,00147381;41824362,260606974;37335654,26450944
Exports;ES;14661467,692433974;11541791,18727236;9756024,89440834;7115721,871438742
Exports;FR;0,0;0,0;0,0;0,0
Exports;GB;31596909,486447588;51048249,617796466;30914390,986751676;31577768,745760325
Exports;IT;23051851,91678944;21381499,755171277;20400512,674534015;16293839,355318557
