EXCHANGE_TYPE;AREAS_from;2030;2040;2050;2060
Imports;BE;3249079,3988772724;1907362,1333389776;2827001,32406318;5594649,1445709355
Imports;CH;1603081,7180761818;4077475,7798767625;3545573,414171478;5145914,107015095
Imports;DE;14781787,227871105;12155802,191244321;9898548,988079313;14174335,559250968
Imports;ES;24823450,967782598;51026073,84272343;55322067,0008015;65354792,50507695
Imports;FR;0,0;0,0;0,0;0,0
Imports;GB;9937100,149368903;4916693,356490969;37404800,039898105;30693906,35969119
Imports;IT;3003362,94329108;4269290,585405907;7052170,546376241;8651485,44964262
Exports;BE;18390566,890499026;39594285,35528566;51087771,777023405;45485710,027271256
Exports;CH;23015030,128244437;25801657,49536598;35738155,827687465;33929903,690487094
Exports;DE;23626636,55609764;39782590,751576774;51556738,94284367;46008795,07503759
Exports;ES;15280311,246323243;14548177,384140275;20939782,329301555;15498736,808265215
Exports;FR;0,0;0,0;0,0;0,0
Exports;GB;31860494,014212716;54877309,8890855;31556652,491612058;39273117,001259744
Exports;IT;23095750,407645166;23339728,5781162;28553972,85439097;25788111,255497284
