EXCHANGE_TYPE;AREAS_from;2030;2040;2050;2060
Imports;BE;3220200,13449632;5735516,3943144325;12188252,191264452;14875370,1529488
Imports;CH;1595946,4226974642;3788024,2322432054;6495632,990432267;6480210,017909157
Imports;DE;15049459,971229613;13208665,908366706;17540288,5085681;19597391,30733253
Imports;ES;25513317,553116754;56954463,31709113;66123272,651850455;68161958,09172387
Imports;FR;0,0;0,0;0,0;0,0
Imports;GB;9957603,431876685;8069862,171308034;39156516,14850187;31138782,6298046
Imports;IT;2984951,9845976066;5244846,3298206655;9188946,594698066;10398616,685192032
Exports;BE;18151265,54050987;32334057,186887432;34641950,38983292;31143220,610250343
Exports;CH;23006622,01984605;25702781,00964537;30877752,196966957;31119637,087494634
Exports;DE;23469501,608552255;38348539,47324281;42009582,321501665;40118192,96181777
Exports;ES;14661467,692433974;10565263,032401359;13031176,697938854;11728824,883661166
Exports;FR;0,0;0,0;0,0;0,0
Exports;GB;31596909,486447588;50455945,827976726;30094732,77460575;39026050,83588788
Exports;IT;23051851,91678944;21246897,752911642;24741214,875525076;22769435,151075184
